H,rule,split,cost_bp,start,days,ann_ret,ann_vol,sharpe,t_nw,alpha_ann,alpha_t,beta,psr0,long_frac,turnover_ann,ic,ic_t,ic_months,coin_sr_sd,dsr,p_vs_coin,sr_star_ann,PASS
1,tsmom12,dev_oof,1.0,2006-06-13,3157.0,0.022696069618203495,0.18533659546087625,0.12245865184781891,0.4311571898557254,-0.00012391102165931552,-0.002474433899445388,0.2968152102554968,0.6675126408449606,0.6423820082356668,10.137472283813748,-0.08450679008492032,-2.18266684880034,35.0,,,,,
1,tsmom12,dev_oof,2.0,2006-06-13,3157.0,0.021682322389822116,0.1853357526003473,0.11698942101353352,0.4117558927644906,-0.001141069979676234,-0.02277907369114564,0.29685958598328926,0.6604635594176954,0.6423820082356668,10.137472283813748,-0.08450679008492032,-2.18266684880034,35.0,,0.17743573964503084,0.092,0.37860163361957094,
1,tsmom12,dev_oof,4.0,2006-06-13,3157.0,0.01965482793305937,0.1853372708243075,0.10604897679588353,0.3729845527479776,-0.003175387895710001,-0.06334677742509195,0.29694833743887394,0.6461936311776548,0.6423820082356668,10.137472283813748,-0.08450679008492032,-2.18266684880034,35.0,,,,,
1,tsmom12,holdout,1.0,2019-01-02,1824.0,0.1074408176177939,0.17933454517540715,0.5991083174337997,1.7043715211905397,-0.04190900874262535,-1.0463956218749473,0.7678384606043663,0.9440518608796674,0.7861842105263158,13.677631578947368,-0.19385397062653015,-4.2450167815499835,15.0,,,,,
1,tsmom12,holdout,2.0,2019-01-02,1824.0,0.10607305445989917,0.1793417324355818,0.5914577327839733,1.6817647901684338,-0.04328645807812898,-1.0803645962222108,0.7678882592541915,0.9417622929085738,0.7861842105263158,13.677631578947368,-0.19385397062653015,-4.2450167815499835,15.0,,0.43542734034519015,0.018,0.6527130876870972,False
1,tsmom12,holdout,4.0,2019-01-02,1824.0,0.10333752814410967,0.17936049052060296,0.5761443216628547,1.6365177825762527,-0.046041356749136356,-1.1480308794093168,0.7679878565538422,0.9369556670099232,0.7861842105263158,13.677631578947368,-0.19385397062653015,-4.2450167815499835,15.0,,,,,
1,tsmom1,dev_oof,1.0,2006-06-13,3157.0,-0.00789528237903911,0.1853202404296239,-0.042603454219224256,-0.15513246160404934,-0.009084169772624093,-0.17690219832957302,0.015463635454651214,0.44007544513854047,0.5312005068102629,50.048780487804876,-0.10757950668579663,-6.12814842877585,111.0,,,,,
1,tsmom1,dev_oof,2.0,2006-06-13,3157.0,-0.012900160427819584,0.18530109803787725,-0.0696172908008493,-0.25322844075187356,-0.014095062576418054,-0.2742393216295646,0.01554186824556033,0.40269026888127385,0.5312005068102629,50.048780487804876,-0.10757950668579663,-6.12814842877585,111.0,,0.056331334489329594,0.216,0.37860163361957094,
1,tsmom1,dev_oof,4.0,2006-06-13,3157.0,-0.02290991652538058,0.18527737198939545,-0.12365199419328907,-0.44879327764930893,-0.024116848184005876,-0.46833247337015976,0.015698333827378622,0.3308209611663724,0.5312005068102629,50.048780487804876,-0.10757950668579663,-6.12814842877585,111.0,,,,,
1,tsmom1,holdout,1.0,2019-01-02,1824.0,0.003566943398708194,0.17950632491444002,0.019870850792629978,0.05638250853969407,-0.071505310461266,-1.2521185503591803,0.38596204122015293,0.5213016821669575,0.6200657894736842,59.82236842105263,-0.11721946717096883,-4.6370865594963755,59.0,,,,,
1,tsmom1,holdout,2.0,2019-01-02,1824.0,-0.0024152934433970545,0.17953123916675798,-0.013453332437334788,-0.038102393747785124,-0.07750400919267436,-1.355168881162405,0.38604667521035724,0.4855631619020572,0.6200657894736842,59.82236842105263,-0.11721946717096883,-4.6370865594963755,59.0,,0.03654279179634329,0.232,0.6527130876870972,False
1,tsmom1,holdout,4.0,2019-01-02,1824.0,-0.014379767127607598,0.17959861174040978,-0.080066137417543,-0.22590093109082401,-0.08950140665549129,-1.559954455916624,0.3862159431907657,0.4145958303129645,0.6200657894736842,59.82236842105263,-0.11721946717096883,-4.6370865594963755,59.0,,,,,
1,realrate,dev_oof,1.0,2006-06-13,3157.0,-0.0018377142480436618,0.18380818599519388,-0.009998000024284628,-0.03575630571438918,-0.003213281376474214,-0.06208941012205625,0.01789174377003908,0.4858859877937878,0.522331327209376,54.83813747228381,-0.06274814528284355,-3.4119852315928605,117.0,,,,,
1,realrate,dev_oof,2.0,2006-06-13,3157.0,-0.00732152799527204,0.18383806565191546,-0.03982596297077474,-0.1423278868377492,-0.008704509472391687,-0.1680531002089491,0.01798818081351355,0.4439335172013779,0.522331327209376,54.83813747228381,-0.06274814528284355,-3.4119852315928605,117.0,,0.0692444914133226,0.196,0.37860163361957094,
1,realrate,dev_oof,4.0,2006-06-13,3157.0,-0.01828915548972881,0.18391213184714092,-0.09944507361227206,-0.3548565163734441,-0.01968696566422659,-0.37939525314579037,0.018181054900462422,0.36230115298034726,0.522331327209376,54.83813747228381,-0.06274814528284355,-3.4119852315928605,117.0,,,,,
1,realrate,holdout,1.0,2019-01-02,1824.0,0.01958352915989246,0.177978522506582,0.11003310334351282,0.3075463657494534,0.0009531905535612384,0.014330635532989694,0.09578243821657792,0.6161599159517488,0.5235745614035088,49.598684210526315,-0.0388763920577109,-1.280251999005065,64.0,,,,,
1,realrate,holdout,2.0,2019-01-02,1824.0,0.01462366073883986,0.17797025959117885,0.08216912630476766,0.2295232141167696,-0.004003278305216697,-0.060145228404368783,0.09576496036121449,0.5873394634529958,0.5235745614035088,49.598684210526315,-0.0388763920577109,-1.280251999005065,64.0,,0.06270180067471956,0.166,0.6527130876870972,False
1,realrate,holdout,4.0,2019-01-02,1824.0,0.0047039238967345855,0.1779673029031333,0.026431393969570397,0.07373464697275078,-0.013916216022772746,-0.2087614783071317,0.09573000465048762,0.5283250816424349,0.5235745614035088,49.598684210526315,-0.0388763920577109,-1.280251999005065,64.0,,,,,
1,dollar,dev_oof,1.0,2006-06-13,3157.0,-0.017803672800124157,0.18520941391156823,-0.09612725629932,-0.34465618285719524,-0.009879595171202018,-0.1922635231976347,-0.10306699223928546,0.366617525958778,0.49033892936331963,48.771618625277156,-0.03529993858193952,-1.6195699178232352,107.0,,,,,
1,dollar,dev_oof,2.0,2006-06-13,3157.0,-0.022680834662651844,0.18522036040457374,-0.12245324765112474,-0.4389246641264474,-0.014754015772855915,-0.2870083829883002,-0.10310264730558351,0.33200439325243586,0.49033892936331963,48.771618625277156,-0.03529993858193952,-1.6195699178232352,107.0,,0.037749619193491186,0.278,0.37860163361957094,
1,dollar,dev_oof,4.0,2006-06-13,3157.0,-0.03243515838770731,0.1852562523450508,-0.1750826651037661,-0.6271847288095166,-0.024502856976163664,-0.47620418699769185,-0.10317395743817953,0.26706994384673566,0.49033892936331963,48.771618625277156,-0.03529993858193952,-1.6195699178232352,107.0,,,,,
1,dollar,holdout,1.0,2019-01-02,1824.0,-0.009608747991414092,0.1794646679387944,-0.05354116830779813,-0.14692085533869,-0.012857023480152451,-0.18483002777653612,0.016700058591783914,0.4427014730350005,0.4862938596491228,46.55921052631579,-0.03136775105194219,-1.1577424107988155,62.0,,,,,
1,dollar,holdout,2.0,2019-01-02,1824.0,-0.014264669044045653,0.1794624466592559,-0.07948553755722434,-0.2179637972716605,-0.017509184667753815,-0.2515874464622013,0.016680728345159462,0.41525671807299536,0.4862938596491228,46.55921052631579,-0.03136775105194219,-1.1577424107988155,62.0,,0.024321616145561737,0.294,0.6527130876870972,False
1,dollar,holdout,4.0,2019-01-02,1824.0,-0.023576511149308834,0.17947197803958745,-0.13136597371266726,-0.35970965618124645,-0.026813507042956656,-0.3848600218074067,0.016642067851910657,0.3616650190162777,0.4862938596491228,46.55921052631579,-0.03136775105194219,-1.1577424107988155,62.0,,,,,
1,cot,dev_oof,1.0,2009-06-09,2405.0,0.013171006132801916,0.11836416155713846,0.11127528771826614,0.3539706083632089,0.0039828922487814755,0.10754440953808947,0.20822671120609587,0.6340204351147788,0.3305613305613306,7.0203742203742205,0.1259881576697424,,1.0,,,,,
1,cot,dev_oof,2.0,2009-06-09,2405.0,0.01246896871076449,0.11835507069718444,0.10535221378614845,0.33513334785882787,0.003279460138436792,0.08855940032876325,0.2082583184938416,0.6271629499120398,0.3305613305613306,7.0203742203742205,0.1259881576697424,,1.0,,0.2001025455445059,0.096,0.37860163361957094,
1,cot,dev_oof,4.0,2009-06-09,2405.0,0.011064893866689641,0.11833861776726783,0.09350196981724561,0.29744428860248284,0.0018725959177474953,0.05057733007981103,0.20832153306933313,0.6133157395353975,0.3305613305613306,7.0203742203742205,0.1259881576697424,,1.0,,,,,
1,cot,holdout,1.0,2019-01-02,1824.0,-0.027018233043016544,0.08708267327166684,-0.3102595732072821,-0.8738846465980291,-0.01382704716965699,-0.4543199790054021,-0.06781862491157706,0.2039963286003344,0.13432017543859648,4.421052631578947,,,0.0,,,,,
1,cot,holdout,2.0,2019-01-02,1824.0,-0.027460338306174437,0.08708846426018779,-0.31531545009374845,-0.8884183291109997,-0.014271482353171576,-0.469046861524616,-0.06780664630735907,0.20023196860965042,0.13432017543859648,4.421052631578947,,,0.0,,0.004922001982833513,0.504,0.6527130876870972,False
1,cot,holdout,4.0,2019-01-02,1824.0,-0.028344548832490234,0.0871015419248643,-0.32541959885096944,-0.9174905749216343,-0.01516035272020069,-0.4985136720476922,-0.06778268909892315,0.19283827327866476,0.13432017543859648,4.421052631578947,,,0.0,,,,,
1,ridge,dev_oof,1.0,2009-06-09,2405.0,-0.09035064336841402,0.16216941965352152,-0.5571373663508825,-1.7960191986809946,-0.10295729828704035,-2.0841187313874006,0.2856997993441372,0.040972774287889244,0.5896049896049896,74.70935550935552,0.014314782234743372,0.8788650977427155,115.0,,,,,
1,ridge,dev_oof,2.0,2009-06-09,2405.0,-0.09782157891934955,0.16220065447444365,-0.6030899149963808,-1.9443305435677747,-0.11043277901764795,-2.235285649455433,0.28580280501286354,0.02975237571381175,0.5896049896049896,74.70935550935552,0.014314782234743372,0.8788650977427155,115.0,,0.0010794919531834275,0.876,0.37860163361957094,
1,ridge,dev_oof,4.0,2009-06-09,2405.0,-0.11276345002122068,0.1622866250749738,-0.6948413029670547,-2.2403175130009476,-0.12538374047886314,-2.536914100153895,0.2860088163503161,0.014838139928002037,0.5896049896049896,74.70935550935552,0.014314782234743372,0.8788650977427155,115.0,,,,,
1,ridge,holdout,1.0,2019-01-02,1824.0,0.17567334058510942,0.17913333123849065,0.9806848305144579,2.556516840656442,0.140713786009646,1.9293591321872272,0.17973432726904162,0.9961654395182454,0.5767543859649122,81.09868421052632,0.019455103849477507,0.838960107890116,87.0,,,,,
1,ridge,holdout,2.0,2019-01-02,1824.0,0.16756347216405684,0.17915990908598145,0.9352732596199336,2.4385568851910815,0.13260870698656466,1.8185556976369384,0.17970970397984815,0.9944888434625943,0.5767543859649122,81.09868421052632,0.019455103849477507,0.838960107890116,87.0,,0.7787486082371222,0.0,0.6527130876870972,False
1,ridge,holdout,4.0,2019-01-02,1824.0,0.1513437353219515,0.17923582350016107,0.8443832955180163,2.2022172729377405,0.11639854894040187,1.5965684604207153,0.17966045740146144,0.9890849163436863,0.5767543859649122,81.09868421052632,0.019455103849477507,0.838960107890116,87.0,,,,,
1,gbm,dev_oof,1.0,2006-06-13,3157.0,0.04333460598262848,0.18529332634465698,0.2338703008764787,0.8304010105086723,0.021003231990334017,0.4162750423408316,0.2904599951867807,0.7967549782136143,0.6135571745327842,126.67849223946784,0.01125485702754182,0.6318364762726387,151.0,,,,,
1,gbm,dev_oof,2.0,2006-06-13,3157.0,0.030682721281963282,0.18528592100199012,0.16559661476725868,0.588071838329755,0.008347674795753678,0.16549666856209275,0.29050776262667366,0.721491277505663,0.6135571745327842,126.67849223946784,0.01125485702754182,0.6318364762726387,151.0,,0.22500207614218326,0.07,0.37860163361957094,
1,gbm,dev_oof,4.0,2006-06-13,3157.0,0.005378951880632855,0.18530179132372626,0.02902806196425651,0.1031062740178492,-0.01696343959340683,-0.33641287488092947,0.2906032975064593,0.5409260931767541,0.6135571745327842,126.67849223946784,0.01125485702754182,0.6318364762726387,151.0,,,,,
1,gbm,holdout,1.0,2019-01-02,1824.0,0.007175026933158372,0.17947793978158177,0.03997720801726453,0.1070822025227019,0.03357569286795024,0.4912860269179917,-0.13573130404169723,0.542841404826913,0.5487938596491229,123.375,-0.0002079010620150353,-0.008065234895523323,87.0,,,,,
1,gbm,holdout,2.0,2019-01-02,1824.0,-0.00516247306684165,0.17948215773206821,-0.02876315468943835,-0.07702054834225837,0.021250450449743566,0.31078123587426837,-0.13579432281422799,0.46918250596252276,0.5487938596491229,123.375,-0.0002079010620150353,-0.008065234895523323,87.0,,0.03347300739700924,0.246,0.6527130876870972,False
1,gbm,holdout,4.0,2019-01-02,1824.0,-0.029837473066841678,0.17952173070291133,-0.16620535547431528,-0.44475013457365986,-0.0034000343866697723,-0.049661964278478826,-0.13592036035928948,0.3278942971923792,0.5487938596491229,123.375,-0.0002079010620150353,-0.008065234895523323,87.0,,,,,
1,always_long,dev_oof,2.0,,3157.0,0.08272272883477993,,0.4464967984895345,1.5896989583585899,,,,,,,,,,,,,,
1,coin_flip,dev_oof,2.0,,,,,-0.27887080070122167,,,,,,,,,,,0.2829052376891132,,,,
1,always_long,holdout,2.0,,1824.0,0.1930225886995702,,1.0778756806497076,3.0852027925966694,,,,,,,,,,,,,,
1,coin_flip,holdout,2.0,,,,,-0.29656235104053746,,,,,,,,,,,0.38474107272024727,,,,
5,tsmom12,dev_oof,1.0,2006-06-13,3157.0,0.012859905846096226,0.18069126476082287,0.07117060065476107,0.25079028075028786,-0.010158904599609773,-0.20883932313766945,0.29940135226664766,0.5993894399903289,0.6436490338929364,6.4975609756097565,-0.2670257480628531,-5.57368706092446,35.0,,,,,
5,tsmom12,dev_oof,2.0,2006-06-13,3157.0,0.012210149748535251,0.18069270369690363,0.06757411615809747,0.23802896874747256,-0.01080913235383811,-0.222124007564649,0.2994074870165014,0.5944664401513935,0.6436490338929364,6.4975609756097565,-0.2670257480628531,-5.57368706092446,35.0,,0.13560327944214334,0.22,0.37860163361957094,
