H,rule,split,n,mean_bps,gross_bps,gross_t,cost_bps,t_nw,sr,psr0,hit,long_frac,ic,ic_t,ic_months,coin_sd_bps,dsr,p_vs_coin,sr_star,PASS
4,tod,dev_oof,2586.0,-0.5823441348084799,0.6364263884527285,1.4292027128437346,1.218770523261208,-1.3076863249992532,-0.025874149326434885,0.0970408065403281,0.397138437741686,0.00580046403712297,0.01769676800979972,2.129062987870412,112.0,,0.003308344003286244,0.0,0.028232167823064352,
4,tod,holdout,1599.0,-1.4317126319348499,-0.05044868618043743,-0.06601060232859547,1.3812639457544125,-1.872601507995487,-0.045092840909542777,0.038240095266657094,0.3896185115697311,0.43151969981238275,0.012544202187369706,0.8902682925607578,33.0,,9.38864235154955e-05,0.595,0.04997899770312404,False
4,mom,dev_oof,14727.0,-1.3634681199311445,-0.0858080387958047,-0.43226787020187,1.2776600811353396,-6.867071233431218,-0.05596002488068392,1.899786784570678e-11,0.39356284375636585,0.514768792014667,-0.0028906027540189466,-0.34023993110815787,112.0,,1.2952380355049526e-23,0.215,0.028232167823064352,
4,mom,holdout,4496.0,-0.46855643583054946,0.9479508194365923,1.9580102339582846,1.4165072552671418,-0.9679794869116727,-0.013913349171836668,0.17767434809655552,0.40880782918149466,0.5095640569395018,0.01664637126417913,1.3824087268259087,33.0,,1.0960360519459933e-05,0.035,0.04997899770312404,False
4,rev,dev_oof,14730.0,-1.239062840846595,0.03680968451760838,0.18856527874453938,1.275872525364203,-6.351084193771263,-0.05149804009092441,5.513120626023243e-10,0.40210454854039374,0.4986422267481331,0.008663214105302729,1.3524194157210845,112.0,,1.9637479272734698e-21,0.095,0.028232167823064352,
4,rev,holdout,4505.0,-2.1855861378903128,-0.770341757771809,-1.4927277460568766,1.4152443801185037,-4.2337593153272675,-0.06696275361683006,8.61500061433812e-06,0.3864594894561598,0.49922308546059935,-0.005592725846609485,-0.5134997824876264,33.0,,3.0480145303979206e-14,0.97,0.04997899770312404,False
4,trend,dev_oof,14720.0,-1.5529497020204432,-0.27496603662641966,-1.3693471915965427,1.2779836653940235,-7.72743113855107,-0.0643560968496095,1.7609562850953905e-14,0.39137228260869567,0.5085597826086956,-0.02892983179313231,-3.6350290276443364,110.0,,5.656533285264447e-28,0.59,0.028232167823064352,
4,trend,holdout,4513.0,-1.4183287417036494,-0.0018093287754151258,-0.0036534153092067636,1.4165194129282341,-2.863738329303584,-0.042674839895537456,0.002706165741347354,0.39995568358076666,0.49811655218258366,-0.006345580036157464,-0.4856909896866549,33.0,,7.759284452104708e-10,0.585,0.04997899770312404,False
4,ridge,dev_oof,2684.0,-1.1626666397940573,0.14927852316332207,0.2924383905999477,1.3119451629573793,-2.2771569912066085,-0.04172770341379842,0.017487190436488272,0.4135618479880775,0.503725782414307,0.010604015843452696,1.348937207186908,112.0,,0.00020363267335123984,0.03,0.028232167823064352,
4,ridge,holdout,838.0,-1.0095592169805203,0.411404431043372,0.25648490838246285,1.4209636480238923,-0.6295835499902204,-0.02176254864843323,0.26914526445724957,0.38902147971360385,0.5393794749403341,0.009893254986266978,0.7103727167132011,33.0,,0.021244259426223832,0.235,0.04997899770312404,False
