data,H,split,ridge_ic,ic_t,column,spearman_with_outcome
old (leaky),4,dev_oof,0.0610621432966324,7.9494713142826825,,
old (leaky),4,holdout,0.047578138667243454,2.6730812414675764,,
old (leaky),4,dev,,,vix_chg5,-0.01497478451912745
old (leaky),4,dev,,,vix_chg20,0.006951807398470602
old (leaky),4,dev,,,tnx_chg5,-0.02610631932573691
old (leaky),4,dev,,,tnx_chg20,-0.024680849874792132
old (leaky),4,dev,,,dxf_chg5,-0.04924283866778285
old (leaky),4,dev,,,dxf_chg20,-0.029034769961775262
old (leaky),4,dev,,,gspc_chg5,0.022972162718381473
old (leaky),4,dev,,,gspc_chg20,-0.0017042082485828804
old (leaky),26,dev_oof,0.06383842786266682,7.41866751861345,,
old (leaky),26,holdout,0.05926784412891901,2.5822691486422036,,
old (leaky),26,dev,,,vix_chg5,-0.029069761729512034
old (leaky),26,dev,,,vix_chg20,0.0059207027256747095
old (leaky),26,dev,,,tnx_chg5,-0.025298251418216632
old (leaky),26,dev,,,tnx_chg20,-0.02780018454101213
old (leaky),26,dev,,,dxf_chg5,-0.057236868526833455
old (leaky),26,dev,,,dxf_chg20,-0.03488605980669005
old (leaky),26,dev,,,gspc_chg5,0.03189769904999057
old (leaky),26,dev,,,gspc_chg20,0.005884062269007147
new (causal),4,dev_oof,0.010604015843452696,1.348937207186908,,
new (causal),4,holdout,0.009893254986266978,0.7103727167132011,,
new (causal),4,dev,,,vix_chg5,-0.023640063148353232
new (causal),4,dev,,,vix_chg20,0.005559947812355813
new (causal),4,dev,,,tnx_chg5,0.002410499029173793
new (causal),4,dev,,,tnx_chg20,-0.011079123984327005
new (causal),4,dev,,,dxf_chg5,-0.006481422942312346
new (causal),4,dev,,,dxf_chg20,-0.005481400446960427
new (causal),4,dev,,,gspc_chg5,0.02065358842046295
new (causal),4,dev,,,gspc_chg20,-6.993508374198847e-05
new (causal),26,dev_oof,0.017600512441564586,2.1549964507317654,,
new (causal),26,holdout,0.016356176722901534,1.2087432689650575,,
new (causal),26,dev,,,vix_chg5,-0.041539590497300785
new (causal),26,dev,,,vix_chg20,-0.000801997677920243
new (causal),26,dev,,,tnx_chg5,-0.00391056662120681
new (causal),26,dev,,,tnx_chg20,-0.014491719909809141
new (causal),26,dev,,,dxf_chg5,-0.015794786242050995
new (causal),26,dev,,,dxf_chg20,-0.011774778562402796
new (causal),26,dev,,,gspc_chg5,0.04117635324224538
new (causal),26,dev,,,gspc_chg20,0.014239597180390832
